Resistance,Voltage(V),Current(A),Calc. Resistance,% Err,Rated Tolerance
1.00E+01,0.283,1.43E-02,19.859649122807,98.60%,2.00%
1.00E+02,0.665,6.06E-03,109.73597359736,9.74%,2.00%
1.00E+03,1.016,9.90E-04,1026.26262626263,2.63%,2.00%
1.00E+04,1.065,9.78E-05,10889.5705521472,8.90%,2.00%
1.00E+05,1.072,1.06E-05,101132.075471698,1.13%,2.00%
1.00E+06,1.075,1.10E-06,977272.727272727,-2.27%,2.00%
