Voltage(V),Current(A),Power(W),Resistance
0.5,4.20E-04,0.00021,1190.47619047619
1.4,1.20E-03,0.00168,1166.66666666667
2.3,1.95E-03,0.004485,1179.48717948718
3.2,2.74E-03,0.008768,1167.88321167883
4.1,3.50E-03,0.01435,1171.42857142857
5,4.30E-03,0.0215,1162.79069767442
